Title,keywords,Goal
lula e biden anunciam que eua irao aderir ao fundo amazonia,"['fome', 'seguranca alimentar global', 'seguranca alimentar', 'praticas agricolas']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"prioridade do ibama e fiscalizar terras indigenas na amazonia, diz novo presidente",['desnutricao'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"sem a amazonia, a vida nao e possivel (por gustavo krause)",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"recursos do fundo amazonia vao para yanomamis, diz marina silva","['desnutricao', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"bndes investira r$ 2,5 milhoes em projetos na amazonia",['reforma agraria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"amazonia: das 100 empresas com as maiores multas ambientais, 44 atuam na regiao",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
dicaprio tuita em portugues para denunciar desmatamento na amazonia,['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
a descoberta da amazonia (por andre gustavo stumpf),['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
lula chega a presidencia com promessa de desmatamento zero da amazonia,['producao agricola'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"banco mundial tem us$ 3,6 bi para investir no brasil, diz diretor",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
reforma tributaria deve preservar zona franca de manaus,['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
governo libera r$ 640 milhoes para indigenas,['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
falha de cadastro do governo permite 'grilagem digital' em terras indigenas,['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"contra o garimpo ilegal, a venda de ouro exigira nota fiscal eletronica",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"maior doadora do fundo amazonia, noruega afirma que buscara mais recursos para o brasil",['seguranca alimentar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"na amazonia, abelhas nativas sao alternativa para geracao de renda","['producao de alimentos', 'culturas agricolas']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"mineracao na amazonia: para a alcoa, o dialogo com a comunidade e a chave para reduzir os impactos",['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
lula sugere inserir indigenas em programa de financiamento a producao agricola,"['agricultura familiar', 'producao agricola']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"brasil se mostra ""fragil"" para conter garimpo ilegal, diz presidente da funai",['desnutricao'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"mais de 19 mil garimpeiros deixaram area yanomami, afirma senador",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
mercadante defende novo plano safra para estimular economia de baixo carbono,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
retomada do fundo amazonia mira 14 projetos e acoes para povos indigenas,['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
tragedia yanomami mobiliza estudantes de sao paulo,"['pesca', 'desnutricao']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
governo instala comissao para zerar desmatamento no brasil ate 2030,"['agricultura familiar', 'pesca', 'fazenda', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
relatorio a maratona amazonica mostra como brasil pode liderar economia verde,"['agricultura sustentavel', 'praticas agricolas']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
mais 80 agentes da forca nacional devem reforcar saida de garimpeiros de terra indigena yanomami,"['fome', 'desnutricao']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
governo de sp preve remunerar indigenas que protegerem a biodiversidade,['desnutricao'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"vao sair pacificamente (da terra yanomami). a indole garimpeira nao e ma', diz minerador",['desnutricao'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"novo regime fiscal, salario minimo, investimento privado: os sinais de lula em mensagem ao congresso","['fome', 'desnutricao']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"e possivel criar uma economia verde no pais sem poluicao na amazonia, diz lula","['fome', 'acabar com a fome']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"lula diz que 'pode demorar um pouco', mas promete acabar com garimpo ilegal",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"governo vai usar recursos do fundo amazonia em apoio aos yanomami, diz marina",['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
brasil tera  200 milhoes para acoes sustentaveis nos primeiros 100 dias sob lula,"['pequenos agricultores', 'agricultura sustentavel']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
caso yanomami: bolsonaro se pronuncia sobre questao indigena em seu governo,"['fome', 'desnutricao', 'producao de alimentos']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
crise ianomami: criancas e idosos lotam unidade de saude indigena,"['fome', 'pesca', 'desnutricao']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
startup que produz alternativas sustentaveis aos agrotoxicos recebe aporte de r$ 10 milhoes,"['producao de alimentos', 'produtividade agricola', 'fertilizantes', 'culturas agricolas']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
governo abre hospital de campanha em area ianomami de garimpo ilegal,['seguranca alimentar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
como e possivel gerar renda a partir da conservacao ambiental,"['fazenda', 'silvicultura']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
o dna de sustentabilidade do modelo de redes neutras de fibra optica,['producao de alimentos'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
agenda 2030: o que sao os SDGs de desenvolvimento sustentavel,"['fome', 'seguranca alimentar', 'agricultura sustentavel']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
desmatamento na amazonia aumentou 150% no ultimo mes de bolsonaro,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"em posse, marina estipula meta de recuperar 12 milhoes de hectares de areas degradadas",['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
entenda a relacao direta entre a biodiversidade e negocios sustentaveis,['producao de alimentos'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
leo slezynger: a cop do hidrogenio verde,['fertilizantes'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
danilo maeda: marco global da biodiversidade,['fertilizantes'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
as 21 startups brasileiras para ficar de olho em 2023,['produtores de alimentos'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"cop27: brasil e referencia em agricultura responsavel, diz secretario da amazonia","['fome', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
pantanal agora tem um dos maiores projetos de deteccao precoce de incendios do mundo,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"com luiza trajano, evento reune 3.000 na quarta para debater agenda de inovacao esg ao brasil",['agricultura sustentavel'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop27: economia de baixo carbono requer mudanca em producao e consumo,"['agroflorestal', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"as promessas de lula na cop27, e por que sera dificil cumpri-las",['produtores de alimentos'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop27: projeto propoe producao de alimentos plant-based a partir de especies nativas da amazonia,"['seguranca alimentar', 'mercado de alimentos', 'sistema alimentar', 'pecuaria', 'producao de alimentos']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
industria brasileira marca presenca na cop27. confira,"['agroflorestal', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop27: agenda das empresas foca em solucoes baseadas na natureza,['agricultura sustentavel'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
de executivas a ativistas: janja se une a mulheres na cop27 e visa atuacao para equidade de genero,['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
lula embarca para cop27 com haddad em sua primeira viagem internacional,['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"racismo ambiental, mudancas climaticas e mais: as 7 discussoes dos primeiros dias da cop27",['seguranca alimentar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
indigenas fazem cinema na floresta amazonica com obras proprias,['pesca'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop27: justica climatica e racismo ambiental sao temas urgentes para sociedade civil brasileira,['seguranca alimentar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
para: o estado com o maior desmatamento tem um plano para desenvolver a amazonia,['producao agricola'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop 27 acende o alerta para aquecimento global,"['pequenos agricultores', 'desnutricao', 'producao de alimentos', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop 27: 14 empresas de alimentos apresentam plano para acabar com o desmatamento,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop27: sociedade civil busca a preservacao do cerrado,"['producao de alimentos', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
indigenas defendem beto marubo para novo ministerio,['pesca'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
silvicultura cresce seis vezes area de cultivo em 37 anos,"['irrigacao', 'silvicultura']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"e preciso criar politica de compensacao para quem preservar florestas', diz lula",['fertilizantes'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
tropicool apresenta sabores da amazonia para paris e o mundo,['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
voce sabe quanto resta de floresta de mata atlantica no brasil?,['silvicultura'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"exclusiva: twitter trends brasil destaca fandoms, sustentabilidade e nfts","['fome', 'inseguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
pesquisadores descobrem especie de arvore gigante na mata atlantica,['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
perda de campos e florestas no brasil em 20 anos equivale a 6% do territorio,"['silvicultura', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
startup que quer fim do papel nos governos ja poupou 257 mil toneladas,['fertilidade do solo'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"o mundo quer salvar a amazonia, mas, antes, precisa conectar a amazonia, diz ceo da azul",['pesca'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"reforma da onu e ""seguranca das mulheres"": o que disse bolsonaro em discurso","['fome', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
dom cabral e insead discutem desafios e oportunidades da floresta amazonica,['producao agricola'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
leia na integra discurso de bolsonaro na assembleia geral da onu,"['fome', 'producao de alimentos']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
fundo jbs pela amazonia seleciona sete novos projetos,"['pesca', 'producao de alimentos', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
empresas se unem para impulsionar o mercado voluntario de carbono,['praticas agricolas'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
sustentabilidade e tema para eleicoes?,['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
dia da amazonia: eneva anuncia mais um compromisso com a sustentabilidade,"['fome', 'inseguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
dia da amazonia: entenda a origem data comemorativa do dia 5 de setembro,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
grupo carrefour investira r$ 50 milhoes para combater o desmatamento,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
mercado livre impulsiona empreendedores que focam na biodiversidade brasileira,['agroflorestal'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"a ciencia prova que a amazonia esta ameacada, e a ciencia vai salvar a floresta, diz fundo jbs","['pesca', 'producao de alimentos', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"o que e mahta, a startup que aposta nos alimentos em po para crescer","['irrigacao', 'fazenda', 'producao de alimentos', 'pecuaria', 'pequenos agricultores']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"ocupar espacos para fortalecer a identidade: a luta dos povos indigenas, segundo samela satere mawe",['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
farm comemora plantio de meio milhao de arvores nativas,"['irrigacao', 'fazenda']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
mercado de carbono pode decolar no brasil com novo decreto,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
estudo mostra que desmatamento tambem e questao de saude,"['seguranca alimentar', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"moraes, do stf: ha leis, mas proteger o meio ambiente nao e prioridade","['fome', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
esg: por um produtivismo verde,"['fome', 'acabar com a fome']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"oab, onu, bolsonaro, lula, ciro: a repercussao da morte de bruno e dom",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"em cupula, bolsonaro se defende sobre amazonia, elogia biden e reitera pautas ideologicas",['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"esg: codigo florestal faz 10 anos, a passos lentos e sob ameacas",['pastoreio'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"na cupula das americas, lideres devem tratar de meio ambiente a guerra na ucrania",['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
schneider electric anuncia metas de sustentabilidade ate 2025,['pesca'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
barco laboratorio navega pela amazonia em busca de produtos da bioeconomia,['pesca'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
bcg busca jovens para promover desenvolvimento sustentavel da amazonia,['producao agricola'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
como o sus chega aos moradores da floresta,['seguranca alimentar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
manejo do pirarucu na amazonia: um case bem-sucedido,"['pesca', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
marfrig: cops empresariais e metas desafiadoras para reduzir emissoes,"['produtores de alimentos', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
crise mundial de fertilizantes gera pressao por mineracao na amazonia,"['fertilizante', 'seguranca alimentar', 'fertilizantes']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"com moss, liv up ira compensar emissoes de carbono das entregas","['sistema alimentar', 'agricultura familiar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
o que ha de novo no desmatamento na amazonia,['irrigacao'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
arquipelago da amazonia tem a producao de acai mais sustentavel do pais,['fertilizantes'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
conheca seis negocios inovadores que atuam na amazonia,"['agroflorestal', 'pequenos agricultores', 'producao de alimentos', 'culturas agricolas']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"com inovacao, o agro nacional e parte importante da solucao climatica","['irrigacao', 'fazenda', 'fertilidade do solo', 'pecuaria', 'producao de alimentos']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
desenvolvimento sustentavel da amazonia depende do saber das comunidades,"['pequeno produtor', 'pesca']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
programa unifica regras para carne bovina sem desmatamento na amazonia,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
fazendeiros podem reduzir poluicao ao ensinarem gado a ir ao banheiro,"['fertilidade do solo', 'fazenda', 'fertilizantes', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cacau produzido na amazonia esta entre os melhores do mundo,"['pequeno produtor', 'agricultura familiar', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
empresas aderem e investem no fundo jbs pela amazonia,"['agricultura familiar', 'pecuaria', 'agricultura sustentavel']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
fundo jbs pela amazonia ja apoia seis projetos,['agricultura familiar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
balanco cop26: setor empresarial avalia conquistas da conferencia,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"lideres: pos-cop26, o desafio e manter controlado o aquecimento global",['pequeno produtor'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"e preciso ser sustentavel, sim, mas de forma prudente com os custos",['fome'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cop16: cooperacao foi a saida sugerida para desmatamento na amazonia,"['fazenda', 'producao de alimentos', 'seguranca alimentar']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
moss repassa r$ 100 mi para preservacao da amazonia com uso de blockchain,['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
fazendas ja conseguem reduzir as emissoes de metano no brasil,"['fertilidade do solo', 'fazenda', 'pecuaria']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
compromissos assumidos pelo governo federal e estados na cop,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
empresas querem producao de soja e criacao de gado sem desmatamento,['pecuaria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
instituicoes financeiras nao investirao em empresa ligada a desmatamento,['agricultura sustentavel'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
racismo climatico: movimento negro brasileiro leva pauta para a cop26,['reforma agraria'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
